country,fix,equipment,engineers,sn,oem,year,model,hospital,notes,result
Tanzania,Installation/Training,Other,"Lyon Chen, Paul Howell",100655.0,N/A,2014,XKS5300885,Tengeru/Meru District,Assembled surgical table,Repaired
Tanzania,Installation/Training,Other,"Lyon Chen, Paul Howell",N/A,Rexmed,2014,N/A,Tengeru/Meru District,Assembled surgical table,Repaired
Tanzania,Other,"Lamp, surgical","Lyon Chen, Paul Howell",N/A,N/A,2014,N/A,Tengeru/Meru District,"Whole assembly not getting voltage although fuses intact, perhaps battery issue. No lights on",Abandoned
Tanzania,Installation/Training,"Autoclave (lab, surgery, and other)","Lyon Chen, Paul Howell",200169.0,Dutch,2014,Sterilizer PM,Tengeru/Meru District,Staff were not turning on electricity before switching on. However buttons and switches missing from previous fix,Repaired
Tanzania,Motor,"Blood Pressure Device, Automatic (NIBP)","Lyon Chen, Paul Howell",,,2014,,Tengeru/Meru District,,Repaired
Tanzania,Electric Simple,Other,"Lyon Chen, Paul Howell",,Wall Socket,2014,,Tengeru/Meru District,"Switch broken, switched outlet cover",Repaired
Tanzania,Power Supply,Fetal steth (fetoscope or  Doppler),"Lyon Chen, Paul Howell",,Multiple (2),2014,,Tengeru/Meru District,"Battery irreplaceable for one, problem unknown for other",Abandoned
Nicaragua,Electric Simple,Electrosurgery Unit (ESU),"Adedayo O. Jobi-Odeneye, Kaitylyn Roth",2001.0,WEM equipamentos electronicas LTDA,2014,SS-501,Corinto,"Bad contact connection, Not able to open the machine",
Nicaragua,Mechanical Simple,Centrifuge,"Adedayo O. Jobi-Odeneye, Kaitylyn Roth",810242.0,LW Scientific INC,2014,LWS-Combo-V24 ,Corinto,"Timer dindnt work, couldn’t take it out, cleaned the machine",
Rwanda,Installation/Training,other,Adam Nathan & David Miller,0011D1179,Aiolos Systems,2014,,Gihundwe/Kamembe,Nebulizer delivered insufficient medicine to the patient. The medicine chamber needed to be cleaned after each use. ,Repaired
Rwanda,Installation/Training,other,Adam Nathan & David Miller,0309E10916,Aiolos Systems,2014,,Gihundwe/Kamembe,Same as the other nebulizer,Repaired
Rwanda,Electric Simple,Incubator (infant),Adam Nathan & David Miller,20002E10165,Beijing Julongs Nyou,2014,B 2000,Gihundwe/Kamembe,Fan wasn't working all the time. Cleaned fan filter and ensured all the wiring was secure. Tested the device before returning to use.,Repaired
Rwanda,Installation/Training,"Oven (laboratory, not kitchen)",Adam Nathan & David Miller,DKN81B410016,YAMATO,2014,DKN810,Gihundwe/Kamembe,Oven needed proper calibration and was over-filled,Repaired
Rwanda,Installation/Training,"Oven (laboratory, not kitchen)",Adam Nathan & David Miller,b2020094,MEMMERT,2014,UM 200,Gihundwe/Kamembe,"Sensor was missing on the interior so calibration was off. We calibrated using boiling water to find 100 C. If water boiled at ~100 C but not at 90 C, then the calibration was successful. ",Repaired
Rwanda,Installation/Training,Incubator (infant),Adam Nathan & David Miller,42809.0,WEYER,2014,WY2401,Gihundwe/Kamembe,Needed to reset the machine to over-ride UNDEF MEMORY BACKUP message,Repaired
Rwanda,Installation/Training,Incubator (infant),Adam Nathan & David Miller,42806.0,WEYER,2014,WY2401,Gihundwe/Kamembe,Same as above Incubator. ,Repaired
Rwanda,Installation/Training,"Autoclave (lab, surgery, and other)",Adam Nathan & David Miller,3387.0,AJC,2014,Uniclave 77,Gihundwe/Kamembe,User error. Found manual online and trained staff,Repaired
Rwanda,Plumbing,Oxygen Concentrator,Adam Nathan & David Miller,,Invacare,2014,IRC5PO2VAW,Gihundwe/Kamembe,Needed to be cleaned thoroughly,Repaired
Rwanda,Plumbing,Oxygen Concentrator,Adam Nathan & David Miller,5117603.0,Medical Healthy,2014,FY5W,Gihundwe/Kamembe,Lots of leaks and needed a new regulator,Repaired
Rwanda,Electric Simple,Other,Adam Nathan & David Miller,,,2014,,Gihundwe/Kamembe,Dental Chair - wires needed to be soldered and the chair needed to be connected to a power source.,Repaired
Rwanda,Power Supply,Drying Machine,Adam Nathan & David Miller,102011041.0,Alliance,2014,SDE 007/WF 300,Gihundwe/Kamembe,Power cord needed replacing,Repaired
Tanzania,Electric Simple,Thermometer,John Asmal and Arihant Jain,,Geratherm,2014,,Kibosho Hospital/Moshi ,"Power Button is missing, replace the power button and put in new batteries.",Repaired
Tanzania,Power Supply,Thermometer,John Asmal and Arihant Jain,,Spengler,2014,,Kibosho Hospital/Moshi ,Battery is missing,Repaired
Tanzania,Power Supply,Thermometer,John Asmal and Arihant Jain,,Spengler,2014,,Kibosho Hospital/Moshi ,Battery is dead,Repaired
Tanzania,Power Supply,Thermometer,John Asmal and Arihant Jain,,Spengler,2014,,Kibosho Hospital/Moshi ,Battery is dead,Repaired
Tanzania,Power Supply,Thermometer,John Asmal and Arihant Jain,,Spengler,2014,,Kibosho Hospital/Moshi ,Battery is missing,Repaired
Tanzania,Installation/Training,CPAP machine,John Asmal and Arihant Jain,1005960.0,Respironic Incs,2014,REMstar plus domestic,Kibosho Hospital/Moshi ,"New Machine. Teaching Tech how to work, and seeing if it functions",
Tanzania,Mechanical Simple,Sphygmomanometer,John Asmal and Arihant Jain,,Riester,2014,Ri-san No 1521,Kibosho Hospital/Moshi ,Needle doesn't move,
Tanzania,Mechanical Simple,Sphygmomanometer,John Asmal and Arihant Jain,,Riester,2014,Ri-san No 1521,Kibosho Hospital/Moshi ,pressure doesn’t release fast enough,
Tanzania,Power Supply,Peristalic Pump,John Asmal and Arihant Jain,,Abbott,2014,Petrol Enternal Pump,Kibosho Hospital/Moshi ,New machine. Does not turn on. Blown fuse and blown capacitor. Recharging the battery as well. ,
Tanzania,Other,Stethoscope,John Asmal and Arihant Jain,,Riester,2014,Duplex,Kibosho Hospital/Moshi ,Diaphragm missing. ,Repaired
Tanzania,Installation/Training,Thermometer,John Asmal and Arihant Jain,,Spengler,2014,,Kibosho Hospital/Moshi ,Display is malfunctioning. Works at certain angles,Repaired
Tanzania,Power Supply,Thermometer,John Asmal and Arihant Jain,,Spengler,2014,,Kibosho Hospital/Moshi ,Battery is dead,
Tanzania,Power Supply,Thermometer,John Asmal and Arihant Jain,,Spengler,2014,,Kibosho Hospital/Moshi ,Battery is dead,
Tanzania,Power Supply,Thermometer,John Asmal and Arihant Jain,,Spengler,2014,,Kibosho Hospital/Moshi ,Battery is missing,
Tanzania,,Sterilizers,John Asmal and Arihant Jain,4375.0,Melag,2014,,Kibosho Hospital/Moshi ,,
Tanzania,Power Supply,Autoclave,John Asmal and Arihant Jain,7219.0,KSG,2014,KSG115,Kibosho Hospital/Moshi ,Power doesn't turn on sometimes. Intermittent Problems. Will check again if it doesn't work. ,Repaired
Tanzania,Power Supply,Pulse Oximeter,John Asmal and Arihant Jain,G02802092,Nellcor,2014,N-595,Kibosho Hospital/Moshi ,Needed to change the power plug from American to African and make user guide.,Repaired
Tanzania,Power Supply,Patient Monitor,John Asmal and Arihant Jain,,Marquette,2014,30000.0,Kibosho Hospital/Moshi ,Needed to change the power plug from American to African and make user guide.,Repaired
Tanzania,Other,Oxygen Concentrator,John Asmal and Arihant Jain,,Weinmann,2014,Oxymat,Kibosho Hospital/Moshi ,Not producing oxygen,Abandoned
Tanzania,Other,Heater,John Asmal and Arihant Jain,,Sonashi,2014,,Kibosho Hospital/Moshi ,"The Halogen tubes are blown, can't replace it ",Abandoned
Tanzania,Electric Simple,Surgical Lamp,John Asmal and Arihant Jain,3233.0,Heraeus,2014,Hanaulux Oslo,Kibosho Hospital/Moshi ,Loose connection between the socket and the light bulb.,Repaired
Tanzania,Power Supply,Oxygen Concentrator,John Asmal and Arihant Jain,,Kröber ,2014,Kröber O2,Kibosho Hospital/Moshi ,Fused blown. ,Abandoned
Tanzania,Electric Simple,Other,John Asmal and Arihant Jain,,,2014,,Kibosho Hospital/Moshi ,Helped install heading lights.,Repaired
Tanzania,Electric Simple,Electric Sphygmomanometer,John Asmal and Arihant Jain,,AND ,2014,UA-767,Kibosho Hospital/Moshi ,Replace the batteries and now gives consistent measurements,Repaired
Tanzania,Electric Simple,Pulse Oximeter,John Asmal and Arihant Jain,110P-07D-0410,MEK,2014,MP 110,Kibosho Hospital/Moshi ,"Probe isn't working and the contrast wasn't well. Was able to adjust the contrast by changing the resistence inside the cirucit, and got the probe to work.",Repaired
Tanzania,Mechanical Simple,Stethoscope,John Asmal and Arihant Jain,,,2014,,Kibosho Hospital/Moshi ,Able to create a rubbing eartip,Repaired
Tanzania,Electric Simple,Overheadl Lamp,John Asmal and Arihant Jain,,,2014,,Kibosho Hospital/Moshi ,Solder a loose connection.,Repaired
Tanzania,Installation/Training,Intraoral video camera,John Asmal and Arihant Jain,,DentalScout,2014,P2000,Kibosho Hospital/Moshi ,Was able to connect to the monitor to illustrate the camera's view and made a quick guide on how to use it. ,Repaired
Tanzania,Installation/Training,Monitor,John Asmal and Arihant Jain,,Sony,2014,Trinitron,Kibosho Hospital/Moshi ,Was able to connect to the camera and to the Color Printer and made a quick guide on how to use it,Repaired
Tanzania,Installation/Training,Color Video Printer,John Asmal and Arihant Jain,,Sony,2014,UP-1200AEPM,Kibosho Hospital/Moshi ,Was able to connect to the minotor and fix paper tray that kept jamming the printing paper and made a quick guide on how to use it.,Repaired
Tanzania,Installation/Training,Other,John Asmal and Arihant Jain,,,2014,,Kibosho Hospital/Moshi ,PET cart: Assemble it for a patient.,Repaired
Tanzania,Installation/Training,Other,John Asmal and Arihant Jain,,,2014,,Kibosho Hospital/Moshi ,PET Cart: Had to Adjust the cart and assemble to match the size of the patient,Repaired
Tanzania,Power Supply,Dental Chair ,John Asmal and Arihant Jain,,,2014,,Kibosho Hospital/Moshi ,Sealed cracked plastic,Repaired
Tanzania,Electric Simple,Electric Sphygmomanometer,John Asmal and Arihant Jain,,AND,2014,UA-767,Kibosho Hospital/Moshi ,Sensor is not working,Abandoned
Tanzania,Other,Autoclave,John Asmal and Arihant Jain,,Melag,2014,Autoklav S23,Kibosho Hospital/Moshi ,Cleaned the Autoclave and replaced bolt.,Repaired
Tanzania,Mechanical Simple,Reflex Hammer,John Asmal and Arihant Jain,,,2014,,Kibosho Hospital/Moshi ,Replaced rubber hammer head,Repaired
Tanzania,Installation/Training,Cast Saw,John Asmal and Arihant Jain,,Stryker,2014,,Kibosho Hospital/Moshi ,Tested and gave a transformer for it. ,Repaired
Tanzania,Electric Simple,Surgical Lamp,John Asmal and Arihant Jain,,Heraeus,2014,Hanaulux Oslo,Kibosho Hospital/Moshi ,Loose connection between the socket and the light bulb.,Repaired
Tanzania,Mechanical Simple,Dental Chair ,John Asmal and Arihant Jain,,,2014,,Kibosho Hospital/Moshi ,There's a suction problem and plubbing problem,Abandoned
Tanzania,Mechanical Simple,Stethoscope,John Asmal and Arihant Jain,,,2014,,Kibosho Hospital/Moshi ,Diaphragm missing and was replaced.,Repaired
Tanzania,Mechanical Simple,Stethoscope,John Asmal and Arihant Jain,,,2014,,Kibosho Hospital/Moshi ,Air tube change,Repaired
Tanzania,Mechanical Simple,Stethoscope,John Asmal and Arihant Jain,,,2014,,Kibosho Hospital/Moshi ,Air tube change,Repaired
Tanzania,Mechanical Simple,Stethoscope,John Asmal and Arihant Jain,,,2014,,Kibosho Hospital/Moshi ,Had to weld the broken piece onto the stethoscope.,Repaired
Tanzania,Mechanical Simple,Stethoscope,John Asmal and Arihant Jain,,,2014,,Kibosho Hospital/Moshi ,Had to weld the broken piece onto the stethoscope.,Repaired
Tanzania,,Transformer,John Asmal and Arihant Jain,,,2014,,Kibosho Hospital/Moshi ,,Repaired
Tanzania,,Heater,John Asmal and Arihant Jain,,,2014,,Kibosho Hospital/Moshi ,,Repaired
Tanzania,Electric Simple,Microscope,John Asmal and Arihant Jain,,,2014,,Kibosho Hospital/Moshi ,Replace the batteries.,Repaired
Tanzania,Installation/Training,Ultrasound,John Asmal and Arihant Jain,,Siemens ,2014,Sonoline Prima,Kibosho Hospital/Moshi ,Gave a quick guide on how to write patient's name and how to label on the image.,Repaired
Rwanda,Other,Monitor,"Jonathan Franks, Neil Rens",SCG10071964WA,GE,2014,Dash 2500,Gisenyi,Pulse oximeter was broken so it was rebuilt using spare parts,Repaired
Rwanda,Mechanical Simple,monitoring,"Jonathan Franks, Neil Rens",scg10061749wa,GE,2014,Dash 2500,Gisenyi,Blood pressure valves were not working so we salvaged from another broken monitor,Repaired
Rwanda,Electric Simple,Microscope ,"Jonathan Franks, Neil Rens",9L80433,Olympus,2014,CX21 LED,Gisenyi,"LED works with independent power supply but not using the microscope's board, even though the board is getting power",Abandoned
Rwanda,Motor,Oxygen Concentrator,"Jonathan Franks, Neil Rens",N5125428,Airsep,2014,Newline,Gisenyi,bad compressor (works by itself but not when hooked up to tubing in machine),Abandoned
Rwanda,,Oxygen Concentrator,"Jonathan Franks, Neil Rens",A509371KS,Sunrise Medical,2014,DeVilbiss,Gisenyi,"needs a new capacitor, a new power line, a new flowmeter, and new tubing (some pieces are missing)",
Rwanda,,Oxygen Concentrator,"Jonathan Franks, Neil Rens",A509518KS,Sunrise Medical,2014,DeVilbiss,Gisenyi,alarm after 15 minutes (compressor has a blue sticker),
Rwanda,,Oxygen Concentrator,"Jonathan Franks, Neil Rens",A509487KS,Sunrise Medical,2014,DeVilbiss,Gisenyi,"needs a new capacitor, needs a new flowmeter",Repaired
Rwanda,Power Supply,Centrifuge,"Jonathan Franks, Neil Rens",,Fisher Scientific,2014,Centrific Model 228,Gisenyi,,Repaired
Rwanda,Electric Simple,Centrifuge,"Jonathan Franks, Neil Rens",,Hettich,2014,Zentrifugen,Gisenyi,PCB has blown power regulator,Abandoned
Rwanda,Other,Pulse Oximeter,"Jonathan Franks, Neil Rens",FCC10170196SA,Ohmeda,2014,Trusat,Gisenyi,"bad power connection and won't turn on. After charging it turned on, but it cannot run very long without power (battery is bad). Battery info: GE Healthcare, Finland; Part number 6050-0006-578; 4.8V; 3200mAh",Repaired
Rwanda,Other,Pulse Oximeter,"Jonathan Franks, Neil Rens",FCC10170181SA,Ohmeda,2014,Trusat,Gisenyi,won't turn on. After charging the device it turned on but it cannot run very long without power (battery is bad),Repaired
Rwanda,Other,"Blood Pressure Device, Automatic (NIBP)","Jonathan Franks, Neil Rens",SCG10071967WA,GE,2014,Dash 2500,Gisenyi,"bad battery, missing BP cuff, missing pulse oximeter. Battery Info: record number 2023227-01; NiMH, 8.4V, 8Ah. We equipped it with BP cuffs but did not have any pulse oximeters with which to equip it.",Repaired
Rwanda,Other,"Blood Pressure Device, Automatic (NIBP)","Jonathan Franks, Neil Rens",SCG10071971WA,GE,2014,Dash 2500,Gisenyi,"bad battery, missing BP cuff, missing pulse oximeter. We equipped it with BP cuffs but did not have any pulse oximeters with which to equip it.",Repaired
Rwanda,Other,Pulse Oximeter,"Jonathan Franks, Neil Rens",SCG10051595WA,GE,2014,Dash 2500,Gisenyi,"bad battery, missing BP cuff, missing ECG. We equipped it with BP cuffs.",Repaired
Rwanda,Mechanical Simple,Scales (laboratory and in wards),"Jonathan Franks, Neil Rens",,Ade,2014,M10811,Gisenyi,Fixed by disassembling and realigning mechanical elemenets,Repaired
Rwanda,,Scales (laboratory and in wards),"Jonathan Franks, Neil Rens",400302208588,Soehnle,2014,,Gisenyi,,
Rwanda,Electric Simple,Aspirator/Suction Machine,"Jonathan Franks, Neil Rens",,Narang,2014,HI-VAC Pluss,Gisenyi,Missing correct power supply,Repaired
Rwanda,,Centrifuge,"Jonathan Franks, Neil Rens",9698508.0,Centurion Scientific,2014,6000 Series,Gisenyi,,Repaired
Rwanda,,Centrifuge,"Jonathan Franks, Neil Rens",work number: 0016317,Zentriguen,2014,"Rotofix 32A, D-78532",Gisenyi,blown fuses led to short circuit. We could not gain access to inside of machine due to lack of large star wrench,Abandoned
Rwanda,,Anesthesia Machine,"Jonathan Franks, Neil Rens",,Drager,2014,Narkomed 2A,Gisenyi,,
Rwanda,Other,Water Bath (laboratory),"Jonathan Franks, Neil Rens",QL1116004,Grant,2014,JB Aqua 12 Plus,Gisenyi,recalibrated temperature,Repaired
Nicaragua,Mechanical Simple,Aspirator/Suction Machine,Michelle Seywald and Kirsti Harlan,N/A,N/A,2014,N/A,Hospital Santiago (in Jinotepe) ,There was insufficient suction being developed by the machine. This was fixed by flattening the valves and sanding the connection points for better contact. ,Repaired
Nicaragua,Electric Simple,Pulse Oximeter,Michelle Seywald and Kirsti Harlan,N/A,,2014,N/A,Hospital Santiago (in Jinotepe) ,"Machine worked great, but the wires were in bad condition-frayed and exposed. It was an easy fix to wrap  with electrical tape. ",Repaired
Nicaragua,Electric Simple,Defibrillator (automatic and manual),Michelle Seywald and Kirsti Harlan,N/A,N/A,2014,N/A,Hospital Santiago (in Jinotepe) ,"Wires in bad condition, re-wrapped in electrical tape. At one point in the wire, had to resolder the connection between the two sides because the wire was completely separated  ",Repaired
Nicaragua,Mechanical Simple,Other,Michelle Seywald and Kirsti Harlan,N/A,N/A,2014,N/A,Hospital Santiago (in Jinotepe) ,"The device was a manual cell counter, the buttons of which were falling off and broken. We replaced the buttons with test tube caps painted black. ",Repaired
Nicaragua,Mechanical Simple,Centrifuge,Michelle Seywald and Kirsti Harlan,N/A,N/A,2014,N/A,Hospital Santiago (in Jinotepe) ,The lid was loose on one side due to lack of screw. We put in a new screw. ,Repaired
Nicaragua,Motor,Centrifuge,Michelle Seywald and Kirsti Harlan,N/A,Presvac ,2014,DCS-16 RTV,Hospital Santiago (in Jinotepe) ,"The screen lit up but the motor did not start. We realized it needed new carbon brushes, but we couldn't find any of the right size/shape in ferreterias so we frankenstein'ed our own",Repaired
Nicaragua,Mechanical Simple,Centrifuge,Michelle Seywald and Kirsti Harlan,4520065.0,Clay Adams ,2014,Sero-Fuge 2002,Hospital Santiago (in Jinotepe) ,The hinge had broken off. Our head technician helped build a replacement hinge using metal and epoxy. ,Repaired
Nicaragua,Mechanical Simple,Centrifuge,Michelle Seywald and Kirsti Harlan,N/A,Clay Adams,2014,N/A,Hospital Santiago (in Jinotepe) ,Machine originally did not start because the plug was so dirty it could not conduct. Easily cleaned. But then metal test tubes made awful clanging about inside of centrifuge due to misshapen cavity. This was fixed with strategic hammering. ,Repaired
Nicaragua,Mechanical Simple,Aspirator/Suction Machine,Michelle Seywald and Kirsti Harlan,N/A,N/A,2014,N/A,Hospital Santiago (in Jinotepe) ,Sanded the valves and replaced leaky bottle for improved suction power. Also sanded down the ridiculously rusty exterior and gave it a brand spanking new paint job. ,Repaired
Nicaragua,Mechanical Simple,Aspirator/Suction Machine,Michelle Seywald and Kirsti Harlan,N/A,N/A,2014,N/A,Hospital Santiago (in Jinotepe) ,Sanded the valves and replaced leaky bottle for improved suction. ,Repaired
